zone_name,season,month,latitude,longitude,rainfall_mm,temperature_deg_c,humidity_pct,river_discharge_m3_s,water_level_m,elevation_m,land_cover,soil_type,population_density,infrastructure,historical_floods,flood_occurred,distance_to_phagwara_km,infrastructure_risk_score,infrastructure_risk_label
Railway Colony,Pre-Monsoon,5,31.224374,75.773768,81.17,40.4,55.04,2677.61,4.4,251.33,Built-up,Silt Loam,7133.22,0,1,1,0.28526829742003135,49.63,Medium
City Centre,Monsoon,7,31.222948,75.773579,228.52,24.96,79.92,3364.97,6.91,244.64,Built-up,Loam,7862.57,1,0,1,0.2889849123505371,59.88,Medium
City Centre,Pre-Monsoon,4,31.223825,75.773883,54.72,38.7,47.13,2217.91,4.5,246.41,Built-up,Loam,7868.97,1,1,1,0.2938017838091625,56.36,Medium
Railway Colony,Post-Monsoon,11,31.224439,75.767726,103.13,27.6,62.49,3135.28,3.88,239.36,Built-up,Silt Loam,7736.28,1,0,1,0.29634795108068945,45.55,Medium
City Centre,Winter,1,31.226103,75.772789,17.11,18.22,66.37,1969.18,2.68,250.15,Built-up,Loam,8080.62,1,0,0,0.30075224288080943,35.74,Low
City Centre,Monsoon,8,31.221344,75.771804,212.66,29.44,71.16,3507.29,6.32,244.57,Built-up,Loam,8140.17,1,0,1,0.3103811805367526,58.44,Medium
Railway Colony,Pre-Monsoon,4,31.226633,75.769672,64.9,44.64,54.31,2082.52,3.4,242.7,Built-up,Silt Loam,7508.77,1,0,1,0.31180468913507325,39.36,Low
City Centre,Pre-Monsoon,5,31.225214,75.773785,102.84,36.63,59.45,2555.85,4.23,250.18,Built-up,Loam,7620.21,1,1,1,0.31430131565850805,58.67,Medium
Railway Colony,Monsoon,7,31.222726,75.767837,175.81,34.65,78.21,3300.79,5.38,246.4,Built-up,Silt Loam,7378.94,0,1,1,0.31535694247802404,58.73,Medium
City Centre,Winter,1,31.224542,75.767446,28.44,17.58,71.72,2176.69,3.82,246.46,Built-up,Loam,7147.64,1,0,0,0.3245688250694834,38.29,Low
City Centre,Winter,12,31.22182,75.773108,20.63,15.62,73.23,2048.13,3.3,240.89,Built-up,Loam,8202.84,0,0,0,0.3269944186075391,29.79,Low
City Centre,Winter,3,31.221212,75.771905,57.77,18.69,66.34,2468.81,3.34,250.07,Built-up,Loam,6707.55,1,1,0,0.3273340963929766,52.77,Medium
City Centre,Winter,3,31.224045,75.774305,0.0,14.66,56.32,2170.68,2.87,249.69,Built-up,Loam,6858.9,1,0,0,0.33332102435696753,34.17,Low
Railway Colony,Post-Monsoon,10,31.22616,75.768281,71.07,29.24,63.31,2097.67,4.2,242.11,Built-up,Silt Loam,7443.0,0,0,0,0.33920301268795033,33.54,Low
City Centre,Monsoon,9,31.225597,75.773844,218.54,32.58,86.0,4014.62,6.59,249.3,Built-up,Loam,9361.98,0,1,1,0.3395773239697857,68.44,Medium
City Centre,Monsoon,9,31.226734,75.772428,207.58,30.58,82.69,3717.35,5.95,249.82,Built-up,Loam,8040.31,1,0,1,0.3411503853058777,57.72,Medium
City Centre,Monsoon,8,31.226731,75.772465,213.32,33.08,79.63,3771.15,6.76,247.64,Built-up,Loam,8225.73,1,0,1,0.3424653198018947,60.35,Medium
City Centre,Winter,3,31.222326,75.767706,60.13,18.37,69.31,2052.62,3.74,246.26,Built-up,Loam,6809.67,1,1,1,0.34814476526554494,52.88,Medium
Railway Colony,Monsoon,7,31.224828,75.767194,150.51,30.05,72.17,3038.49,4.93,254.31,Built-up,Silt Loam,5770.49,1,0,1,0.3550317409739212,47.43,Medium
City Centre,Monsoon,8,31.224947,75.767214,200.08,31.39,78.08,3481.35,5.85,244.8,Built-up,Loam,7802.44,1,0,1,0.35687321406298406,56.14,Medium
Railway Colony,Winter,12,31.223457,75.767068,38.25,17.65,62.91,1990.56,2.62,244.19,Built-up,Silt Loam,7494.51,1,1,0,0.3599694422808694,49.89,Medium
City Centre,Pre-Monsoon,5,31.221068,75.769168,133.89,35.33,44.29,3247.53,4.5,242.37,Built-up,Loam,7283.97,1,1,1,0.36107347655436123,62.24,Medium
Railway Colony,Winter,3,31.223307,75.767057,21.16,19.28,61.1,2042.89,2.7,245.09,Built-up,Silt Loam,7530.37,1,0,0,0.3641620581513193,35.42,Low
City Centre,Winter,12,31.225383,75.767267,31.47,17.13,60.42,2010.78,3.09,250.21,Built-up,Loam,6473.41,1,1,0,0.3694687431480762,49.3,Medium
City Centre,Monsoon,8,31.223938,75.76689,214.46,27.97,82.16,3254.41,6.08,252.29,Built-up,Loam,8014.4,0,0,1,0.3718582296276217,49.1,Medium
City Centre,Winter,2,31.221018,75.772581,56.68,19.09,52.4,1718.99,3.71,245.35,Built-up,Loam,7898.6,1,0,1,0.37232834461942443,39.27,Low
Railway Colony,Post-Monsoon,11,31.226535,75.768027,62.32,28.7,63.21,2038.77,3.24,250.43,Built-up,Silt Loam,7792.02,1,0,0,0.3859801227566717,39.13,Low
City Centre,Monsoon,6,31.220753,75.76936,195.9,30.87,68.24,3346.05,5.3,250.39,Built-up,Loam,8585.92,1,0,1,0.386143279148972,55.35,Medium
City Centre,Winter,1,31.223245,75.766774,71.66,20.96,64.01,2190.46,3.45,248.21,Built-up,Loam,7846.53,0,0,0,0.39192303330313827,32.58,Low
City Centre,Winter,3,31.224739,75.774851,18.91,20.03,69.65,2101.67,2.76,247.81,Built-up,Loam,7675.85,1,0,1,0.3938673999280847,35.81,Low
Railway Colony,Winter,12,31.226857,75.773279,0.0,20.69,62.41,1469.38,3.17,248.19,Built-up,Silt Loam,6078.05,0,0,0,0.3955841542078603,23.93,Low
City Centre,Post-Monsoon,10,31.227139,75.772758,63.73,29.68,57.43,1994.32,3.11,249.29,Built-up,Loam,7420.14,1,0,0,0.39559101716169853,38.25,Low
City Centre,Winter,3,31.223969,75.766597,106.39,18.63,77.98,2756.86,4.95,244.46,Built-up,Loam,7045.06,1,0,1,0.3996699189299321,46.31,Medium
Railway Colony,Winter,12,31.227117,75.76862,115.95,13.61,57.25,2515.75,4.18,242.23,Built-up,Silt Loam,6705.23,1,0,1,0.40385185875917273,43.82,Medium
Railway Colony,Post-Monsoon,10,31.225183,75.766773,23.31,31.33,60.79,1715.4,3.38,244.04,Built-up,Silt Loam,5985.77,1,0,0,0.4048817390967639,34.12,Low
City Centre,Post-Monsoon,11,31.225229,75.774814,83.47,29.7,61.75,2685.47,4.1,244.45,Built-up,Loam,7330.59,1,1,1,0.4054082500169077,57.33,Medium
Railway Colony,Pre-Monsoon,5,31.220721,75.768713,50.94,38.24,51.02,2211.44,3.97,239.82,Built-up,Silt Loam,7532.98,0,0,0,0.41511730070674224,32.41,Low
City Centre,Pre-Monsoon,5,31.222853,75.766637,54.86,39.6,39.41,2352.37,3.7,246.48,Built-up,Loam,8632.38,0,1,1,0.4158928771821464,47.87,Medium
Railway Colony,Winter,2,31.224933,75.775046,54.08,16.95,80.13,2224.94,2.7,242.49,Built-up,Silt Loam,5768.67,0,1,0,0.4168577969247013,41.09,Medium
City Centre,Winter,12,31.221009,75.773514,15.99,16.23,50.62,2004.77,2.97,245.46,Built-up,Loam,5678.85,1,1,0,0.4209677006855801,47.11,Medium
Railway Colony,Monsoon,6,31.221243,75.767485,212.78,29.09,99.0,3329.9,6.21,241.47,Built-up,Silt Loam,8008.96,0,0,1,0.43971158699830887,49.53,Medium
City Centre,Winter,2,31.221889,75.766852,19.0,20.5,56.48,2195.59,3.23,246.45,Built-up,Loam,7573.5,0,1,0,0.44275649187431465,43.05,Medium
City Centre,Winter,12,31.227004,75.773882,64.75,19.0,49.5,2461.72,3.56,251.46,Built-up,Loam,7192.07,0,0,0,0.4443624046966433,32.3,Low
Railway Colony,Winter,3,31.220343,75.76888,0.0,19.69,74.54,1626.37,2.68,238.97,Built-up,Silt Loam,7073.38,0,0,0,0.4457451070157457,24.57,Low
Railway Colony,Winter,3,31.22642,75.76705,0.0,18.41,69.26,1668.78,3.45,242.92,Built-up,Silt Loam,7041.34,1,1,0,0.4467174442155438,48.48,Medium
City Centre,Monsoon,7,31.225553,75.766454,161.82,27.13,81.76,2875.09,5.4,241.4,Built-up,Loam,7104.72,1,1,1,0.4478786042370223,64.56,Medium
City Centre,Winter,1,31.228032,75.770922,19.59,19.98,63.61,1646.42,2.92,248.28,Built-up,Loam,7998.43,0,1,0,0.44848799722547145,41.47,Medium
Railway Colony,Pre-Monsoon,4,31.223606,75.766075,73.29,40.45,50.73,2314.95,3.59,246.42,Built-up,Silt Loam,7106.7,0,0,0,0.45142283527168964,32.29,Low
City Centre,Monsoon,9,31.221317,75.774482,202.74,34.79,87.57,2891.98,6.26,247.25,Built-up,Loam,7869.03,1,0,1,0.45998667563231677,55.78,Medium
Railway Colony,Winter,1,31.22687,75.767315,39.79,13.08,66.98,2054.15,3.31,249.36,Built-up,Silt Loam,5630.67,1,1,0,0.46005885565910604,49.18,Medium
Railway Colony,Winter,3,31.222546,75.766245,14.63,14.4,70.7,1971.21,2.6,240.46,Built-up,Silt Loam,6415.99,1,0,0,0.46232086798086536,33.1,Low
Railway Colony,Winter,2,31.228167,75.770865,78.15,19.9,63.92,1776.44,3.49,248.41,Built-up,Silt Loam,7688.37,0,0,1,0.46339047870969563,31.67,Low
City Centre,Winter,2,31.22015,75.772745,0.0,18.81,60.58,2263.48,2.66,252.84,Built-up,Loam,6882.57,1,1,0,0.46634376477523104,47.94,Medium
City Centre,Winter,3,31.219847,75.770116,79.4,17.92,74.93,2349.01,4.72,247.46,Built-up,Loam,7767.85,1,1,1,0.46635046495297766,58.33,Medium
Railway Colony,Monsoon,6,31.224634,75.765857,163.13,28.88,82.45,3082.56,4.52,245.37,Built-up,Silt Loam,6909.15,1,1,1,0.47527607774180264,62.79,Medium
City Centre,Monsoon,8,31.220635,75.767664,165.76,33.67,88.0,3238.5,5.75,248.04,Built-up,Loam,8922.8,1,0,1,0.4784641467748608,55.11,Medium
College District,Monsoon,8,31.226099,75.766204,231.91,28.9,77.74,3259.34,5.84,250.33,Mixed Use,Loam,5772.19,1,1,1,0.49544015001545383,68.27,Medium
Railway Colony,Monsoon,6,31.226666,75.766622,195.12,30.0,80.92,3621.7,6.54,243.14,Built-up,Silt Loam,6872.42,1,0,1,0.4956866211419783,56.62,Medium
Railway Colony,Monsoon,6,31.221498,75.766455,188.29,32.71,80.59,3160.24,5.14,239.08,Built-up,Silt Loam,6729.98,1,1,1,0.4981006620498335,65.49,Medium
Railway Colony,Monsoon,8,31.228475,75.771127,167.91,32.82,82.53,3262.16,5.96,246.67,Built-up,Silt Loam,7635.83,0,1,1,0.4985677962397606,59.98,Medium
City Centre,Monsoon,8,31.22655,75.775131,194.78,31.36,81.02,3472.0,6.62,247.63,Built-up,Loam,7007.56,1,1,1,0.4999952262024675,70.59,Critical
City Centre,Monsoon,7,31.219747,75.768954,165.0,27.71,78.81,3127.11,6.29,247.46,Built-up,Loam,8238.78,0,1,1,0.5044391215519133,61.11,Medium
Railway Colony,Winter,1,31.219439,75.770882,36.48,16.87,55.6,1971.42,4.35,250.87,Built-up,Silt Loam,6345.59,0,1,0,0.5072199980677337,44.29,Medium
City Centre,Winter,12,31.228561,75.770483,19.75,21.66,70.42,2334.99,2.95,242.97,Built-up,Loam,7443.72,1,0,0,0.5080549948463428,36.61,Low
City Centre,Post-Monsoon,10,31.228542,75.771521,76.9,30.31,64.0,2538.63,4.99,245.58,Built-up,Loam,7267.04,1,1,1,0.5096791838651268,58.66,Medium
City Centre,Monsoon,7,31.22832,75.768448,184.72,34.69,85.77,3266.27,5.98,253.83,Built-up,Loam,8950.04,1,1,1,0.5298711594707614,70.72,Critical
Railway Colony,Post-Monsoon,10,31.224854,75.76529,32.97,24.83,65.08,2151.26,3.4,247.43,Built-up,Silt Loam,6691.65,1,0,0,0.5324687212898546,36.8,Low
City Centre,Monsoon,6,31.225746,75.765571,191.03,32.46,87.63,3108.28,5.46,250.87,Built-up,Loam,7331.98,0,1,1,0.5337708273585606,59.1,Medium
City Centre,Winter,1,31.22778,75.767333,62.28,18.56,48.56,1848.18,3.77,246.23,Built-up,Loam,7532.78,0,0,0,0.5341763047490635,31.53,Low
City Centre,Winter,2,31.223209,75.776477,97.91,25.68,67.02,2365.78,3.41,247.94,Built-up,Loam,7071.59,1,1,0,0.5469355639884359,55.18,Medium
Railway Colony,Winter,1,31.227884,75.767234,37.52,17.63,57.97,1679.59,3.3,243.31,Built-up,Silt Loam,6955.9,0,0,0,0.5490851078385892,27.91,Low
City Centre,Post-Monsoon,10,31.219938,75.774088,78.41,31.18,67.05,2363.62,3.84,250.0,Built-up,Loam,7475.65,0,1,1,0.5493296717234428,47.79,Medium
City Centre,Monsoon,8,31.219535,75.773317,234.97,28.93,77.58,3477.4,6.48,242.18,Built-up,Loam,8012.85,1,0,1,0.5511645852836098,59.68,Medium
City Centre,Post-Monsoon,10,31.228935,75.771351,93.56,30.57,53.83,2657.0,3.87,250.07,Built-up,Loam,7567.55,0,1,0,0.5512423834833694,49.53,Medium
City Centre,Monsoon,8,31.219612,75.773679,207.46,33.02,88.02,3456.05,6.01,246.72,Built-up,Loam,6503.23,1,1,1,0.5594786366834733,69.01,Medium
City Centre,Monsoon,6,31.220289,75.774781,192.92,36.25,78.84,3603.21,6.0,249.79,Built-up,Loam,7309.35,0,1,1,0.5599800521696653,61.78,Medium
City Centre,Winter,1,31.219976,75.774346,15.02,16.11,62.09,2207.26,2.88,243.39,Built-up,Loam,7562.98,1,0,0,0.5602737736188458,36.03,Low
City Centre,Monsoon,7,31.218943,75.770766,201.34,29.65,84.22,3081.54,6.7,251.37,Built-up,Loam,7435.86,0,0,1,0.5623220384393522,48.66,Medium
City Centre,Monsoon,9,31.228445,75.767959,193.28,32.68,76.03,2984.71,5.03,243.09,Built-up,Loam,7301.86,1,1,1,0.563266649476539,65.81,Medium
City Centre,Pre-Monsoon,4,31.228788,75.772852,87.85,39.42,56.63,2016.89,4.04,239.37,Built-up,Loam,7623.44,0,1,1,0.5670284716939169,48.03,Medium
City Centre,Winter,2,31.227493,75.775267,12.88,20.28,71.22,1454.8,2.37,247.45,Built-up,Loam,7394.44,1,1,0,0.5755609936933715,46.45,Medium
Railway Colony,Winter,2,31.228565,75.767883,0.0,16.19,54.57,1281.19,2.68,238.15,Built-up,Silt Loam,6040.57,0,1,0,0.5784410629582758,36.2,Low
City Centre,Winter,12,31.227647,75.766429,81.41,18.63,68.85,1979.23,4.07,244.05,Built-up,Loam,6807.77,1,0,1,0.5806843561616402,40.54,Medium
City Centre,Winter,3,31.224096,75.776919,54.29,20.47,61.33,2270.31,3.33,250.46,Built-up,Loam,6834.1,0,0,0,0.58194127019442,30.22,Low
City Centre,Post-Monsoon,11,31.229347,75.77056,87.99,27.89,56.43,2267.2,3.91,248.5,Built-up,Loam,7476.99,1,1,1,0.5949970615159034,56.19,Medium
City Centre,Monsoon,8,31.228745,75.773844,151.05,34.06,80.07,3013.7,4.78,245.83,Built-up,Loam,8445.03,0,0,1,0.6017962311440169,42.77,Medium
Railway Colony,Pre-Monsoon,5,31.229338,75.769674,46.32,39.11,50.3,2239.6,3.51,250.19,Built-up,Silt Loam,6949.01,0,0,0,0.603137516710294,30.33,Low
City Centre,Winter,2,31.222884,75.777013,85.04,22.02,60.7,2589.81,3.88,247.08,Built-up,Loam,7210.16,0,0,0,0.6036775738491591,34.45,Low
City Centre,Monsoon,7,31.220683,75.775882,193.95,32.92,95.63,3403.02,5.52,246.62,Built-up,Loam,7576.85,0,1,1,0.6079183748986103,60.52,Medium
Railway Colony,Winter,12,31.227511,75.765865,90.21,19.59,62.6,2368.5,4.62,244.1,Built-up,Silt Loam,7646.37,1,0,1,0.6104200153600178,44.51,Medium
Railway Colony,Winter,12,31.22748,75.765781,0.0,20.46,53.7,1815.68,2.74,249.8,Built-up,Silt Loam,7258.1,0,1,0,0.6144045099002442,39.47,Low
Railway Colony,Post-Monsoon,10,31.227003,75.765368,86.78,26.99,38.24,2006.16,4.72,244.6,Built-up,Silt Loam,6412.03,1,1,0,0.6150479853164279,55.88,Medium
City Centre,Pre-Monsoon,5,31.222238,75.764622,70.82,38.14,49.68,2423.17,4.58,238.02,Built-up,Loam,7446.05,0,1,1,0.6192699260524375,49.31,Medium
City Centre,Pre-Monsoon,4,31.225443,75.764496,79.32,39.02,52.05,2405.86,3.57,246.47,Built-up,Loam,7115.04,0,1,1,0.6205339112749685,46.8,Medium
Railway Colony,Monsoon,9,31.22295,75.764377,174.4,32.9,71.45,3382.59,4.91,243.68,Built-up,Silt Loam,8149.92,1,1,1,0.6218133686421207,66.83,Medium
City Centre,Monsoon,7,31.229556,75.769967,203.4,24.57,85.76,2571.61,5.35,248.58,Built-up,Loam,7910.39,1,1,1,0.622855689762888,66.83,Medium
Railway Colony,Monsoon,9,31.220929,75.765288,199.78,32.51,84.73,3391.53,6.67,242.26,Built-up,Silt Loam,6864.29,1,0,1,0.6255593506032571,56.54,Medium
City Centre,Winter,2,31.225861,75.777041,88.13,19.17,68.42,2248.81,4.17,250.29,Built-up,Loam,8162.88,0,1,1,0.6284830092934345,49.73,Medium
Railway Colony,Post-Monsoon,11,31.227711,75.775867,58.96,29.15,61.88,2393.05,3.86,246.15,Built-up,Silt Loam,6374.07,1,0,0,0.6343564828578089,39.41,Low
Railway Colony,Winter,2,31.229708,75.771317,38.39,17.66,60.97,2232.83,2.58,244.19,Built-up,Silt Loam,7344.62,0,0,0,0.6366015346832734,28.24,Low
City Centre,Monsoon,7,31.219932,75.775591,208.46,30.97,75.55,3490.4,6.08,243.45,Built-up,Loam,8931.69,0,1,1,0.641998707971913,64.72,Medium
Railway Colony,Monsoon,7,31.218949,75.767513,186.72,30.3,88.53,3173.15,5.61,246.37,Built-up,Silt Loam,8002.78,1,0,1,0.6427606049872254,54.36,Medium
Railway Colony,Post-Monsoon,11,31.229636,75.769211,51.88,23.74,58.65,2345.84,3.06,245.38,Built-up,Silt Loam,6450.35,1,0,0,0.6446506270542393,37.12,Low
Railway Colony,Monsoon,8,31.224934,75.763957,128.83,29.09,85.42,2859.55,4.26,246.55,Built-up,Silt Loam,7564.56,0,0,1,0.6589203078560113,38.77,Low
City Centre,Pre-Monsoon,4,31.224724,75.777709,38.51,38.58,47.46,2183.93,3.39,252.61,Built-up,Loam,7444.42,1,1,0,0.6618749205441153,52.2,Medium
Railway Colony,Post-Monsoon,10,31.2243,75.763843,71.38,25.6,65.53,2121.16,3.56,247.1,Built-up,Silt Loam,6580.36,1,0,0,0.6623669137954888,38.87,Low
City Centre,Winter,1,31.219191,75.774943,40.12,22.35,67.66,2374.65,3.97,250.96,Built-up,Loam,7999.16,1,0,0,0.6641891952235488,40.95,Medium
City Centre,Monsoon,8,31.22982,75.772384,186.04,32.36,87.65,3226.88,6.32,243.0,Built-up,Loam,7604.12,1,0,1,0.6644499457153713,55.61,Medium
City Centre,Monsoon,8,31.226425,75.777257,174.01,28.61,89.39,3295.94,6.71,248.47,Built-up,Loam,7852.01,0,1,1,0.670578729299611,62.48,Medium
Railway Colony,Pre-Monsoon,5,31.224025,75.763731,97.26,36.37,48.02,2068.48,3.95,245.97,Built-up,Silt Loam,7504.75,0,0,0,0.6721829401836045,34.26,Low
Railway Colony,Monsoon,7,31.227871,75.765343,213.81,27.64,71.68,2957.43,6.21,242.09,Built-up,Silt Loam,6650.04,1,1,1,0.6741781344495029,68.68,Medium
Railway Colony,Post-Monsoon,10,31.228287,75.765711,47.3,26.12,62.74,1838.37,3.74,241.86,Built-up,Silt Loam,6531.91,1,1,0,0.6792550022970724,51.28,Medium
Railway Colony,Winter,3,31.23013,75.77004,33.57,18.06,67.73,1771.35,3.52,248.87,Built-up,Silt Loam,8592.36,1,0,0,0.6854448710239026,38.77,Low
Industrial Belt,Winter,2,31.220575,75.776802,8.49,22.28,59.15,2048.99,3.28,246.32,Industrial,Clay Loam,4410.5,1,1,0,0.6861285197125087,45.83,Medium
City Centre,Post-Monsoon,10,31.229982,75.772629,46.95,30.76,53.05,2300.57,2.96,246.29,Built-up,Loam,7671.27,1,1,0,0.6875270169642388,52.22,Medium
College District,Pre-Monsoon,4,31.226668,75.764241,65.55,36.97,55.0,2601.9,3.88,242.69,Mixed Use,Loam,5000.32,1,1,1,0.6906378779424612,52.42,Medium
Railway Colony,Monsoon,8,31.217934,75.769193,135.03,28.21,60.16,2760.07,4.8,244.51,Built-up,Silt Loam,7601.27,1,1,1,0.6916017128337515,62.16,Medium
Railway Colony,Post-Monsoon,11,31.230175,75.769762,64.99,25.44,55.09,2168.48,3.53,244.13,Built-up,Silt Loam,6904.68,1,1,0,0.6936859938893518,53.06,Medium
City Centre,Monsoon,8,31.226024,75.777726,163.87,30.02,85.88,3264.26,5.19,250.46,Built-up,Loam,8352.38,0,1,1,0.6959664259878204,58.94,Medium
City Centre,Monsoon,9,31.225023,75.778189,220.87,28.11,89.33,3684.11,5.7,246.91,Built-up,Loam,7836.95,1,0,1,0.7117504383321811,57.41,Medium
Railway Colony,Monsoon,9,31.230405,75.771008,193.95,33.88,74.94,2914.96,5.98,245.88,Built-up,Silt Loam,6580.5,0,0,1,0.7124780612777946,44.93,Medium
City Centre,Monsoon,6,31.226917,75.764112,172.71,30.5,82.52,2826.55,5.72,250.39,Built-up,Loam,7790.41,1,1,1,0.7138801551556941,66.7,Medium
Railway Colony,Monsoon,9,31.230368,75.769834,213.62,29.64,69.22,3316.88,6.59,244.1,Built-up,Silt Loam,6448.87,0,1,1,0.7140218665618426,62.26,Medium
City Centre,Winter,3,31.225711,75.77807,45.31,19.51,62.47,2531.48,3.29,250.96,Built-up,Loam,7181.16,1,1,1,0.7169867226164837,52.85,Medium
Railway Colony,Monsoon,7,31.225591,75.763466,168.98,31.94,71.98,2933.2,5.14,249.14,Built-up,Silt Loam,7420.47,0,0,1,0.7194595891061762,42.88,Medium
Railway Colony,Monsoon,6,31.224055,75.763233,209.71,27.08,78.93,3206.5,6.71,241.27,Built-up,Silt Loam,7942.75,1,0,1,0.7195569002983347,58.15,Medium
City Centre,Winter,2,31.23025,75.77277,86.21,18.8,62.75,2578.31,4.76,247.77,Built-up,Loam,7332.9,1,1,0,0.7197698720842055,58.77,Medium
Railway Colony,Monsoon,7,31.226505,75.763815,221.14,31.38,84.59,3627.91,6.38,244.61,Built-up,Silt Loam,6683.91,1,1,1,0.7202241860500438,71.29,Critical
