asset_name,asset_type,latitude,longitude,rainfall_mm,water_level_m,soil_type,building_age_years,floors,building_height_m,distance_to_river_km,construction_material,foundation_type,drainage_quality,soil_bearing_capacity_kpa,maintenance_score,occupancy_load,building_vulnerability_score,building_condition
Canal Bridge,Water Crossing,31.2362,75.7915,30.12,4.88,Loam,24.8,1,10.72,0.02,Steel,Raft Foundation,Moderate,165.94,57.49,340,44.54,Major Repair
Canal Bridge,Water Crossing,31.2362,75.7915,129.16,5.26,Loam,41.4,1,12.22,0.02,RCC,Isolated Footing,Poor,112.36,79.51,381,66.91,Unsafe
Canal Bridge,Water Crossing,31.2362,75.7915,90.04,4.43,Loam,40.4,1,8.65,0.11,RCC,Strip Footing,Moderate,123.38,34.49,384,74.94,Unsafe
Canal Bridge,Water Crossing,31.2362,75.7915,76.76,4.33,Loam,41.5,1,15.71,0.02,RCC,Strip Footing,Moderate,121.81,26.57,445,78.6,Unsafe
Canal Bridge,Water Crossing,31.2362,75.7915,65.1,5.05,Loam,24.6,1,6.12,0.33,RCC,Raft Foundation,Good,130.01,30.4,386,55.58,Major Repair
Canal Bridge,Water Crossing,31.2362,75.7915,76.15,4.56,Loam,23.7,1,10.76,0.02,RCC,Isolated Footing,Good,110.83,46.74,465,53.92,Major Repair
Canal Bridge,Water Crossing,31.2362,75.7915,94.56,4.03,Loam,27.8,1,15.36,0.02,Steel,Raft Foundation,Poor,114.64,65.93,457,53.0,Major Repair
Canal Bridge,Water Crossing,31.2362,75.7915,90.35,3.58,Loam,33.9,2,9.37,0.14,RCC,Isolated Footing,Moderate,145.49,59.5,316,49.15,Major Repair
Canal Bridge,Water Crossing,31.2362,75.7915,106.83,3.83,Loam,33.4,1,7.51,0.02,RCC,Raft Foundation,Moderate,80.0,15.0,370,66.48,Unsafe
Canal Bridge,Water Crossing,31.2362,75.7915,91.22,3.62,Loam,40.3,1,7.27,0.02,Brick Masonry,Raft Foundation,Good,110.26,42.43,305,56.82,Major Repair
Canal Bridge,Water Crossing,31.2362,75.7915,119.76,4.32,Loam,42.4,3,5.68,0.02,RCC,Isolated Footing,Poor,97.9,42.91,417,78.23,Unsafe
Canal Bridge,Water Crossing,31.2362,75.7915,92.81,3.96,Loam,34.2,1,9.39,0.32,RCC,Pile Foundation,Good,164.91,53.59,391,43.79,Major Repair
Canal Bridge,Water Crossing,31.2362,75.7915,79.34,4.09,Loam,36.1,2,4.0,0.02,RCC,Isolated Footing,Good,126.99,76.09,357,40.06,Minor Repair
Canal Bridge,Water Crossing,31.2362,75.7915,68.75,3.88,Loam,25.8,1,4.29,0.47,RCC,Isolated Footing,Moderate,135.53,47.33,344,50.92,Major Repair
Canal Bridge,Water Crossing,31.2362,75.7915,109.7,5.56,Loam,38.3,1,5.77,0.39,RCC,Strip Footing,Good,159.41,29.35,317,63.46,Unsafe
Canal Bridge,Water Crossing,31.2362,75.7915,0.0,3.94,Loam,36.3,1,5.65,0.02,RCC,Raft Foundation,Good,161.8,46.95,347,48.59,Major Repair
Canal Bridge,Water Crossing,31.2362,75.7915,86.85,4.16,Loam,27.5,2,9.69,0.02,RCC,Pile Foundation,Good,130.31,71.83,323,45.45,Major Repair
Canal Bridge,Water Crossing,31.2362,75.7915,106.48,4.22,Loam,37.7,4,7.7,0.02,RCC,Raft Foundation,Moderate,130.93,43.42,424,71.63,Unsafe
Canal Bridge,Water Crossing,31.2362,75.7915,90.53,4.3,Loam,24.6,1,10.88,0.02,RCC,Pile Foundation,Moderate,80.0,35.7,290,63.57,Unsafe
Canal Bridge,Water Crossing,31.2362,75.7915,86.48,3.07,Loam,30.8,1,4.0,1.33,RCC,Raft Foundation,Good,146.64,68.8,261,29.68,Minor Repair
Canal Bridge,Water Crossing,31.2362,75.7915,15.65,3.81,Loam,21.7,1,4.0,1.08,Steel,Pile Foundation,Good,149.52,69.56,316,26.1,Minor Repair
Canal Bridge,Water Crossing,31.2362,75.7915,85.82,3.9,Loam,33.8,1,14.98,0.47,Steel,Raft Foundation,Good,110.82,52.48,463,59.95,Major Repair
Industrial Gate 2,Industry,31.2108,75.783,0.0,2.77,Loam,10.9,3,17.36,2.21,RCC,Raft Foundation,Good,183.29,80.8,749,8.92,Good
Industrial Gate 2,Industry,31.2108,75.783,28.61,3.52,Loam,14.7,5,15.07,1.7,RCC,Raft Foundation,Good,199.94,76.5,654,25.14,Minor Repair
Industrial Gate 2,Industry,31.2108,75.783,63.91,3.9,Loam,29.3,4,19.4,0.02,RCC,Isolated Footing,Poor,128.29,29.63,1189,70.67,Unsafe
Industrial Gate 2,Industry,31.2108,75.783,91.84,4.14,Loam,36.5,1,23.12,1.33,Brick Masonry,Raft Foundation,Good,152.77,60.42,928,40.96,Minor Repair
Industrial Gate 2,Industry,31.2108,75.783,88.05,4.55,Loam,21.0,6,26.5,1.3,RCC,Strip Footing,Poor,130.38,65.71,1211,56.6,Major Repair
Industrial Gate 2,Industry,31.2108,75.783,146.2,5.34,Loam,35.8,6,25.34,0.29,Brick Masonry,Strip Footing,Poor,118.43,34.6,1044,97.85,Unsafe
Industrial Gate 2,Industry,31.2108,75.783,56.56,4.44,Loam,20.1,3,19.12,1.6,Steel,Isolated Footing,Poor,173.44,71.36,924,48.66,Major Repair
Industrial Gate 2,Industry,31.2108,75.783,136.25,4.6,Loam,41.9,7,21.31,0.47,RCC,Isolated Footing,Poor,157.3,23.09,1561,78.32,Unsafe
Industrial Gate 2,Industry,31.2108,75.783,152.96,4.3,Loam,30.1,3,18.98,1.14,Brick Masonry,Isolated Footing,Poor,137.44,29.17,826,66.55,Unsafe
Industrial Gate 2,Industry,31.2108,75.783,105.31,3.9,Loam,20.7,4,14.7,2.26,RCC,Pile Foundation,Poor,156.07,47.63,987,43.43,Major Repair
Industrial Gate 2,Industry,31.2108,75.783,56.82,4.37,Loam,13.6,6,20.23,1.6,RCC,Isolated Footing,Poor,135.66,50.12,1099,50.73,Major Repair
Industrial Gate 2,Industry,31.2108,75.783,133.23,5.15,Loam,26.7,3,23.88,0.61,RCC,Pile Foundation,Poor,124.54,45.22,659,66.02,Unsafe
Industrial Gate 2,Industry,31.2108,75.783,35.15,2.51,Loam,13.1,2,13.51,2.4,RCC,Pile Foundation,Good,196.44,83.48,647,19.19,Good
Industrial Gate 2,Industry,31.2108,75.783,63.41,3.96,Loam,22.2,2,16.98,0.89,Brick Masonry,Raft Foundation,Moderate,158.68,54.31,800,40.87,Minor Repair
Industrial Gate 2,Industry,31.2108,75.783,66.15,3.94,Loam,14.4,2,17.33,1.08,RCC,Raft Foundation,Good,183.3,41.46,873,34.34,Minor Repair
Industrial Gate 2,Industry,31.2108,75.783,98.27,4.3,Loam,29.5,3,13.48,0.26,Steel,Raft Foundation,Moderate,122.72,35.1,1097,61.64,Unsafe
Industrial Gate 2,Industry,31.2108,75.783,97.96,4.08,Loam,28.4,6,22.73,1.87,Brick Masonry,Pile Foundation,Poor,113.7,59.98,666,56.62,Major Repair
Industrial Gate 2,Industry,31.2108,75.783,106.73,4.08,Loam,21.6,4,22.28,0.49,RCC,Strip Footing,Moderate,133.08,53.56,1155,58.09,Major Repair
Industrial Gate 2,Industry,31.2108,75.783,69.61,3.43,Loam,17.1,4,16.75,1.35,Brick Masonry,Pile Foundation,Moderate,89.49,50.76,729,56.15,Major Repair
Industrial Gate 2,Industry,31.2108,75.783,105.77,4.55,Loam,23.9,3,17.28,0.35,Brick Masonry,Strip Footing,Poor,133.21,49.68,683,69.75,Unsafe
Industrial Gate 2,Industry,31.2108,75.783,105.53,3.09,Loam,21.8,1,9.86,2.82,RCC,Raft Foundation,Good,161.51,67.27,623,15.72,Good
Industrial Gate 2,Industry,31.2108,75.783,26.57,2.24,Loam,1.6,1,16.42,2.09,Steel,Raft Foundation,Good,172.72,72.37,596,13.26,Good
Industrial Gate 2,Industry,31.2108,75.783,48.85,2.04,Loam,6.8,1,18.73,2.22,Steel,Pile Foundation,Good,163.83,71.34,799,15.6,Good
Industrial Gate 2,Industry,31.2108,75.783,117.73,4.68,Loam,34.8,4,19.9,0.7,RCC,Strip Footing,Moderate,148.56,25.54,652,67.2,Unsafe
Industrial Gate 2,Industry,31.2108,75.783,90.57,3.67,Loam,37.5,3,24.77,1.03,Brick Masonry,Pile Foundation,Good,138.62,62.02,877,53.45,Major Repair
Industrial Gate 2,Industry,31.2108,75.783,27.14,4.3,Loam,30.5,5,12.48,0.65,Brick Masonry,Isolated Footing,Poor,126.03,50.55,1136,76.54,Unsafe
Industrial Gate 2,Industry,31.2108,75.783,50.89,3.82,Loam,14.8,4,8.43,1.36,RCC,Raft Foundation,Moderate,142.61,51.29,737,40.1,Minor Repair
Industrial Gate 2,Industry,31.2108,75.783,60.37,3.47,Loam,19.4,1,12.73,2.03,Steel,Raft Foundation,Moderate,113.99,43.08,955,40.5,Minor Repair
Industrial Gate 2,Industry,31.2108,75.783,8.02,2.92,Loam,17.4,3,9.57,2.21,RCC,Raft Foundation,Good,175.71,56.28,545,26.71,Minor Repair
Industrial Gate 2,Industry,31.2108,75.783,93.83,3.47,Loam,23.7,2,17.63,1.13,RCC,Raft Foundation,Moderate,144.25,80.84,762,27.32,Minor Repair
Industrial Gate 2,Industry,31.2108,75.783,75.09,3.76,Loam,23.6,3,21.1,0.78,RCC,Raft Foundation,Moderate,102.47,43.19,730,61.66,Unsafe
Industrial Gate 2,Industry,31.2108,75.783,27.19,3.26,Loam,17.9,3,10.19,1.52,RCC,Raft Foundation,Good,134.77,75.97,778,24.75,Good
Industrial Gate 2,Industry,31.2108,75.783,41.4,3.82,Loam,21.7,5,17.28,0.71,RCC,Raft Foundation,Moderate,137.83,47.5,957,57.26,Major Repair
Industrial Gate 2,Industry,31.2108,75.783,118.27,4.69,Loam,41.3,5,23.7,0.17,RCC,Isolated Footing,Poor,80.0,19.26,1478,86.59,Unsafe
Industrial Gate 2,Industry,31.2108,75.783,79.73,4.58,Loam,31.8,4,25.31,0.45,Steel,Raft Foundation,Moderate,162.59,29.74,963,65.48,Unsafe
Market Road Junction,Commercial,31.2231,75.7747,197.08,7.6,Loam,15.8,2,17.6,1.94,RCC,Raft Foundation,Moderate,175.15,64.47,1598,38.52,Minor Repair
Market Road Junction,Commercial,31.2231,75.7747,233.49,8.12,Loam,14.0,3,10.1,0.85,RCC,Strip Footing,Moderate,188.56,43.64,1199,49.45,Major Repair
Market Road Junction,Commercial,31.2231,75.7747,213.71,7.76,Loam,16.1,1,17.63,0.96,RCC,Raft Foundation,Moderate,129.34,52.61,1087,47.81,Major Repair
Market Road Junction,Commercial,31.2231,75.7747,242.8,6.22,Loam,18.0,3,12.05,1.6,RCC,Raft Foundation,Moderate,167.45,99.2,1629,37.47,Minor Repair
Market Road Junction,Commercial,31.2231,75.7747,279.44,6.9,Loam,20.3,4,15.01,1.63,RCC,Strip Footing,Moderate,168.45,59.96,1604,51.44,Major Repair
Market Road Junction,Commercial,31.2231,75.7747,176.74,6.2,Loam,9.9,1,6.72,2.49,RCC,Raft Foundation,Good,231.84,93.46,899,22.56,Good
Market Road Junction,Commercial,31.2231,75.7747,212.95,6.96,Loam,15.9,3,18.14,1.36,RCC,Strip Footing,Moderate,180.79,56.47,1673,44.6,Major Repair
Market Road Junction,Commercial,31.2231,75.7747,295.74,8.02,Loam,19.5,4,15.32,1.71,RCC,Pile Foundation,Good,148.95,40.87,1190,49.38,Major Repair
Market Road Junction,Commercial,31.2231,75.7747,230.25,5.88,Loam,4.3,2,12.94,2.76,RCC,Raft Foundation,Good,224.17,81.52,951,25.36,Minor Repair
Market Road Junction,Commercial,31.2231,75.7747,221.94,8.69,Loam,22.3,2,8.28,1.25,RCC,Raft Foundation,Good,150.77,55.31,1453,43.21,Major Repair
Market Road Junction,Commercial,31.2231,75.7747,237.95,7.91,Loam,34.0,5,17.36,0.5,RCC,Isolated Footing,Poor,101.72,45.26,1328,82.59,Unsafe
Market Road Junction,Commercial,31.2231,75.7747,256.75,7.4,Loam,26.6,4,17.15,0.75,RCC,Strip Footing,Moderate,166.9,40.79,1094,60.31,Unsafe
Market Road Junction,Commercial,31.2231,75.7747,242.17,6.96,Loam,13.5,2,7.38,1.12,Steel,Strip Footing,Moderate,176.55,73.93,1074,43.39,Major Repair
Market Road Junction,Commercial,31.2231,75.7747,216.51,6.48,Loam,24.4,2,13.27,1.02,RCC,Isolated Footing,Moderate,120.62,68.92,1668,47.18,Major Repair
Market Road Junction,Commercial,31.2231,75.7747,227.13,5.97,Loam,29.8,1,13.71,1.34,RCC,Pile Foundation,Good,144.47,31.92,1580,52.79,Major Repair
Market Road Junction,Commercial,31.2231,75.7747,229.88,7.01,Loam,8.9,3,8.14,1.38,RCC,Strip Footing,Good,140.08,72.25,1296,38.47,Minor Repair
Market Road Junction,Commercial,31.2231,75.7747,221.01,7.32,Loam,14.0,1,10.08,2.22,RCC,Raft Foundation,Poor,138.02,60.97,1424,48.3,Major Repair
Market Road Junction,Commercial,31.2231,75.7747,167.94,6.62,Loam,16.2,2,12.8,1.55,RCC,Isolated Footing,Good,148.05,77.24,1452,35.85,Minor Repair
Market Road Junction,Commercial,31.2231,75.7747,235.57,6.79,Loam,23.2,5,15.29,1.73,RCC,Isolated Footing,Poor,187.5,88.29,1215,54.45,Major Repair
Market Road Junction,Commercial,31.2231,75.7747,327.95,7.45,Loam,26.6,1,15.75,0.5,RCC,Pile Foundation,Good,130.38,46.05,1542,51.31,Major Repair
Market Road Junction,Commercial,31.2231,75.7747,218.42,6.86,Loam,6.4,2,20.65,1.6,RCC,Isolated Footing,Poor,140.77,61.14,1239,54.08,Major Repair
Market Road Junction,Commercial,31.2231,75.7747,243.77,6.51,Loam,5.0,1,9.05,2.47,RCC,Raft Foundation,Good,221.16,100.0,1142,21.66,Good
Market Road Junction,Commercial,31.2231,75.7747,242.63,6.31,Loam,17.0,1,6.5,1.11,Steel,Raft Foundation,Moderate,164.86,67.66,1446,43.22,Major Repair
Market Road Junction,Commercial,31.2231,75.7747,221.46,7.44,Loam,13.3,4,9.81,1.15,RCC,Raft Foundation,Moderate,151.87,49.21,1365,45.08,Major Repair
Market Road Junction,Commercial,31.2231,75.7747,278.75,8.47,Loam,36.6,3,14.45,0.45,Brick Masonry,Strip Footing,Poor,121.1,55.3,2342,76.99,Unsafe
Market Road Junction,Commercial,31.2231,75.7747,252.89,6.87,Loam,22.4,2,6.19,0.88,RCC,Pile Foundation,Poor,120.5,63.32,1721,50.54,Major Repair
Market Road Junction,Commercial,31.2231,75.7747,199.73,6.08,Loam,9.1,2,10.04,1.97,Steel,Raft Foundation,Good,208.3,84.04,1470,26.57,Minor Repair
Market Road Junction,Commercial,31.2231,75.7747,208.69,5.01,Loam,0.9,1,9.24,2.97,RCC,Raft Foundation,Good,189.44,69.42,1234,16.87,Good
Market Road Junction,Commercial,31.2231,75.7747,193.04,6.19,Loam,9.2,1,13.77,1.4,RCC,Raft Foundation,Good,168.13,78.89,1193,22.63,Good
Market Road Junction,Commercial,31.2231,75.7747,174.34,7.11,Loam,11.5,4,10.28,1.58,RCC,Raft Foundation,Good,151.28,66.1,1648,38.21,Minor Repair
Market Road Junction,Commercial,31.2231,75.7747,221.49,6.88,Loam,13.2,2,9.19,2.4,Steel,Raft Foundation,Good,199.94,80.27,1091,26.24,Minor Repair
Market Road Junction,Commercial,31.2231,75.7747,282.26,8.08,Loam,39.8,4,12.43,1.25,Brick Masonry,Strip Footing,Poor,145.62,53.03,1965,74.48,Unsafe
Market Road Junction,Commercial,31.2231,75.7747,217.73,6.01,Loam,21.5,2,13.28,1.22,Brick Masonry,Strip Footing,Moderate,186.79,67.22,1986,49.05,Major Repair
Market Road Junction,Commercial,31.2231,75.7747,230.38,6.46,Loam,5.7,1,12.71,1.38,Steel,Raft Foundation,Good,169.87,67.16,1296,30.28,Minor Repair
Market Road Junction,Commercial,31.2231,75.7747,222.0,6.53,Loam,23.3,2,22.68,0.95,Brick Masonry,Isolated Footing,Moderate,138.55,42.35,1572,70.06,Unsafe
Civil Hospital,Healthcare,31.2258,75.7681,15.33,3.69,Loam,19.8,4,26.24,3.28,Steel,Pile Foundation,Good,260.0,94.83,800,25.52,Minor Repair
Civil Hospital,Healthcare,31.2258,75.7681,45.75,4.37,Loam,24.8,5,17.05,1.94,RCC,Raft Foundation,Good,252.25,79.87,981,31.58,Minor Repair
Civil Hospital,Healthcare,31.2258,75.7681,13.9,3.31,Loam,25.2,5,23.64,2.22,RCC,Isolated Footing,Moderate,203.5,91.13,1111,42.66,Major Repair
Civil Hospital,Healthcare,31.2258,75.7681,121.34,4.49,Loam,30.0,3,23.4,1.56,Brick Masonry,Raft Foundation,Moderate,183.11,50.49,880,51.94,Major Repair
Civil Hospital,Healthcare,31.2258,75.7681,49.59,5.18,Loam,27.3,4,26.35,1.16,RCC,Pile Foundation,Moderate,170.8,66.72,854,45.89,Major Repair
Civil Hospital,Healthcare,31.2258,75.7681,78.58,4.19,Loam,22.9,5,24.18,1.17,Steel,Isolated Footing,Moderate,172.26,76.49,1172,49.58,Major Repair
Civil Hospital,Healthcare,31.2258,75.7681,4.4,4.99,Loam,22.2,5,26.44,3.09,RCC,Isolated Footing,Good,170.62,71.67,1278,39.33,Minor Repair
Civil Hospital,Healthcare,31.2258,75.7681,67.73,3.48,Loam,13.2,1,21.03,3.3,RCC,Pile Foundation,Good,231.34,100.0,640,26.19,Minor Repair
Civil Hospital,Healthcare,31.2258,75.7681,41.15,4.76,Loam,28.7,1,23.25,2.04,Steel,Raft Foundation,Moderate,185.8,74.8,1209,28.67,Minor Repair
Civil Hospital,Healthcare,31.2258,75.7681,42.54,5.01,Loam,20.6,4,31.58,1.35,Steel,Pile Foundation,Moderate,183.36,83.47,1255,34.31,Minor Repair
Civil Hospital,Healthcare,31.2258,75.7681,78.33,4.47,Loam,29.7,4,17.99,1.57,RCC,Isolated Footing,Good,191.61,61.34,849,44.76,Major Repair
Civil Hospital,Healthcare,31.2258,75.7681,33.09,4.2,Loam,28.8,3,23.36,1.83,RCC,Strip Footing,Moderate,194.69,77.54,840,48.67,Major Repair
Civil Hospital,Healthcare,31.2258,75.7681,108.96,4.81,Loam,34.3,6,18.29,1.48,RCC,Raft Foundation,Moderate,182.68,56.73,760,48.67,Major Repair
Civil Hospital,Healthcare,31.2258,75.7681,31.41,3.0,Loam,24.7,3,20.33,3.15,RCC,Pile Foundation,Good,225.85,97.23,760,13.29,Good
Civil Hospital,Healthcare,31.2258,75.7681,53.25,3.83,Loam,19.0,5,23.48,2.37,Brick Masonry,Raft Foundation,Poor,167.03,90.54,1088,42.28,Major Repair
Civil Hospital,Healthcare,31.2258,75.7681,60.76,4.39,Loam,30.8,2,28.09,1.39,RCC,Raft Foundation,Moderate,154.43,75.25,842,39.9,Minor Repair
Civil Hospital,Healthcare,31.2258,75.7681,138.45,5.16,Loam,36.4,3,22.64,1.07,RCC,Strip Footing,Good,176.87,54.59,891,42.68,Major Repair
Civil Hospital,Healthcare,31.2258,75.7681,44.68,4.6,Loam,31.5,5,21.86,2.32,Steel,Raft Foundation,Moderate,200.99,65.74,1197,37.96,Minor Repair
Civil Hospital,Healthcare,31.2258,75.7681,63.33,4.11,Loam,24.4,5,21.27,1.57,RCC,Pile Foundation,Good,194.99,78.52,1456,26.15,Minor Repair
Civil Hospital,Healthcare,31.2258,75.7681,73.81,4.73,Loam,19.1,2,20.48,2.14,Steel,Raft Foundation,Moderate,179.25,72.24,1010,26.61,Minor Repair
Civil Hospital,Healthcare,31.2258,75.7681,79.49,4.45,Loam,31.3,4,14.8,1.51,Steel,Isolated Footing,Moderate,158.33,56.97,1018,49.27,Major Repair
Civil Hospital,Healthcare,31.2258,75.7681,51.06,3.82,Loam,21.0,5,25.15,2.58,RCC,Raft Foundation,Good,194.97,67.73,1054,24.5,Good
Civil Hospital,Healthcare,31.2258,75.7681,136.84,5.52,Loam,37.6,8,30.41,1.07,Brick Masonry,Strip Footing,Poor,139.02,56.19,1988,75.3,Unsafe
Civil Hospital,Healthcare,31.2258,75.7681,138.11,5.63,Loam,30.9,6,23.4,2.12,RCC,Isolated Footing,Poor,140.28,81.27,925,53.47,Major Repair
Civil Hospital,Healthcare,31.2258,75.7681,109.43,4.19,Loam,13.4,5,29.92,2.23,Brick Masonry,Strip Footing,Moderate,180.46,49.73,1028,43.85,Major Repair
Civil Hospital,Healthcare,31.2258,75.7681,31.87,4.29,Loam,24.3,4,26.63,2.23,RCC,Raft Foundation,Moderate,197.66,100.0,1014,32.67,Minor Repair
Civil Hospital,Healthcare,31.2258,75.7681,24.46,4.11,Loam,22.1,5,21.52,2.87,RCC,Raft Foundation,Good,208.54,96.19,786,23.08,Good
Civil Hospital,Healthcare,31.2258,75.7681,78.98,4.11,Loam,25.3,5,30.71,2.42,Steel,Raft Foundation,Moderate,208.87,81.68,1136,43.65,Major Repair
Civil Hospital,Healthcare,31.2258,75.7681,33.12,4.06,Loam,28.0,4,17.42,1.6,RCC,Isolated Footing,Good,156.44,88.9,1131,37.2,Minor Repair
Civil Hospital,Healthcare,31.2258,75.7681,75.87,4.48,Loam,24.8,4,23.74,2.24,Brick Masonry,Raft Foundation,Good,204.99,73.87,1136,34.07,Minor Repair
Civil Hospital,Healthcare,31.2258,75.7681,98.23,4.08,Loam,17.0,3,25.98,1.77,Brick Masonry,Raft Foundation,Moderate,205.69,70.45,916,34.17,Minor Repair
Civil Hospital,Healthcare,31.2258,75.7681,11.37,3.26,Loam,13.8,4,17.89,3.31,RCC,Pile Foundation,Good,248.69,100.0,1047,18.73,Good
Civil Hospital,Healthcare,31.2258,75.7681,77.62,3.85,Loam,30.2,4,23.36,2.34,RCC,Raft Foundation,Good,162.56,85.3,1122,37.84,Minor Repair
Civil Hospital,Healthcare,31.2258,75.7681,50.09,3.45,Loam,15.7,3,15.88,2.7,RCC,Raft Foundation,Good,190.54,91.87,997,16.26,Good
Civil Hospital,Healthcare,31.2258,75.7681,114.37,5.72,Loam,40.9,7,33.79,0.8,Brick Masonry,Strip Footing,Poor,146.45,62.26,1156,70.49,Unsafe
LPU University Hospital,Healthcare,31.2569,75.703,166.86,5.59,Loam,27.4,9,45.93,2.58,RCC,Raft Foundation,Poor,172.37,64.98,1336,50.08,Major Repair
LPU University Hospital,Healthcare,31.2569,75.703,189.85,5.35,Loam,27.2,7,34.47,3.04,RCC,Isolated Footing,Good,180.08,69.65,1114,44.87,Major Repair
LPU University Hospital,Healthcare,31.2569,75.703,116.57,4.6,Loam,14.1,8,34.14,4.51,RCC,Raft Foundation,Good,260.0,100.0,905,27.06,Minor Repair
LPU University Hospital,Healthcare,31.2569,75.703,137.99,4.16,Loam,1.7,7,39.73,4.13,RCC,Raft Foundation,Good,244.61,100.0,822,33.2,Minor Repair
LPU University Hospital,Healthcare,31.2569,75.703,249.74,6.15,Loam,36.9,11,49.36,2.48,Brick Masonry,Isolated Footing,Poor,158.44,54.16,1289,77.62,Unsafe
LPU University Hospital,Healthcare,31.2569,75.703,160.11,5.31,Loam,19.6,9,38.28,2.94,RCC,Isolated Footing,Moderate,248.08,72.65,1485,51.13,Major Repair
LPU University Hospital,Healthcare,31.2569,75.703,181.04,5.61,Loam,24.6,10,40.33,3.53,RCC,Strip Footing,Poor,237.55,91.14,1171,42.73,Major Repair
LPU University Hospital,Healthcare,31.2569,75.703,159.09,4.94,Loam,3.9,10,34.81,4.11,RCC,Pile Foundation,Good,239.27,97.25,811,33.08,Minor Repair
LPU University Hospital,Healthcare,31.2569,75.703,141.0,4.24,Loam,5.9,8,33.36,4.8,RCC,Pile Foundation,Good,260.0,100.0,734,23.27,Good
LPU University Hospital,Healthcare,31.2569,75.703,247.5,7.76,Loam,41.9,10,46.64,2.4,RCC,Strip Footing,Poor,182.02,70.54,1691,74.23,Unsafe
LPU University Hospital,Healthcare,31.2569,75.703,247.8,4.96,Loam,31.1,8,42.38,2.67,RCC,Isolated Footing,Moderate,194.73,48.3,1258,62.19,Unsafe
LPU University Hospital,Healthcare,31.2569,75.703,156.64,5.62,Loam,17.4,8,39.71,3.03,RCC,Pile Foundation,Moderate,195.37,88.07,1323,48.19,Major Repair
LPU University Hospital,Healthcare,31.2569,75.703,210.53,5.61,Loam,14.2,8,39.77,3.71,RCC,Strip Footing,Poor,200.37,100.0,904,54.59,Major Repair
LPU University Hospital,Healthcare,31.2569,75.703,133.45,5.55,Loam,26.6,11,35.45,3.63,RCC,Isolated Footing,Moderate,207.34,75.28,1247,46.59,Major Repair
LPU University Hospital,Healthcare,31.2569,75.703,225.47,6.92,Loam,34.4,10,46.42,2.25,RCC,Strip Footing,Poor,173.51,59.39,1394,76.02,Unsafe
LPU University Hospital,Healthcare,31.2569,75.703,216.09,4.54,Loam,15.7,8,34.9,4.4,RCC,Raft Foundation,Good,260.0,97.86,765,34.3,Minor Repair
LPU University Hospital,Healthcare,31.2569,75.703,117.12,5.55,Loam,7.6,8,43.1,3.1,RCC,Isolated Footing,Poor,211.05,100.0,1212,50.32,Major Repair
LPU University Hospital,Healthcare,31.2569,75.703,155.97,5.69,Loam,15.5,7,39.1,3.15,RCC,Isolated Footing,Good,190.39,79.04,1330,37.62,Minor Repair
